func_id,language,source_repo,file,func_name,class_path,visibility,cc,nloc,params,start_line,end_line,qualname,is_method,receiver_kind,module_or_package,param_types,import_hint,enrich_note,ctor_signature,ctor_snippet,ctor_verified,needs_context,ctor_note,ctor_class,ctor_module,raw_source_path
CJ-011,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/format/FormatUtils.java,FormatUtils::calculateDigitCount,FormatUtils,public,7,15,1,409,423,org.joda.time.format.FormatUtils.calculateDigitCount,yes,static,org.joda.time.format,long,import org.joda.time.format.FormatUtils;  // call FormatUtils.calculateDigitCount(long),,,,,,khong phai method,,,clean_functions/CJ-011.java
CJ-012,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::parsePattern,PatternOptionBuilder,public,6,37,1,173,223,org.apache.commons.cli.PatternOptionBuilder.parsePattern,yes,static,org.apache.commons.cli,String,import org.apache.commons.cli.PatternOptionBuilder;  // call PatternOptionBuilder.parsePattern(String),,,,,,khong phai method,,,clean_functions/CJ-012.java
CJ-013,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/iterators/ListIteratorWrapper.java,ListIteratorWrapper::remove,ListIteratorWrapper,public,5,18,0,214,231,org.apache.commons.collections4.iterators.ListIteratorWrapper.remove,yes,instance,org.apache.commons.collections4.iterators,,"import org.apache.commons.collections4.iterators.ListIteratorWrapper;  // construct ListIteratorWrapper, then instance.remove()",,,,,,khong phai method,,,clean_functions/CJ-013.java
CJ-014,java,google/gson,data/raw/gson/proto/src/main/java/com/google/gson/protobuf/ProtoTypeAdapter.java,ProtoTypeAdapter::serialize,ProtoTypeAdapter,public,5,26,3,255,284,com.google.gson.protobuf.ProtoTypeAdapter.serialize,yes,instance,com.google.gson.protobuf,"Message,Type,JsonSerializationContext","import com.google.gson.protobuf.ProtoTypeAdapter;  // construct ProtoTypeAdapter, then instance.serialize(Message, Type, JsonSerializationContext)",,,,,,khong phai method,,,clean_functions/CJ-014.java
CJ-015,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/safety/Safelist.java,Safelist::removeAttributes,Safelist,public,8,28,2,334,363,org.jsoup.safety.Safelist.removeAttributes,yes,instance,org.jsoup.safety,"String,String...","import org.jsoup.safety.Safelist;  // construct Safelist, then instance.removeAttributes(String, String...)",,,,,,khong phai method,,,clean_functions/CJ-015.java
CJ-016,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java,CSVPrinter::printComment,CSVPrinter,public,9,33,1,229,262,org.apache.commons.csv.CSVPrinter.printComment,yes,instance,org.apache.commons.csv,String,"import org.apache.commons.csv.CSVPrinter;  // construct CSVPrinter, then instance.printComment(String)",,,,,,khong phai method,,,clean_functions/CJ-016.java
CJ-017,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/xy/DefaultWindDataset.java,WindDataItem::equals,WindDataItem,public,6,19,1,406,424,org.jfree.data.xy.WindDataItem.equals,yes,instance,org.jfree.data.xy,Object,"import org.jfree.data.xy.WindDataItem;  // construct WindDataItem, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-017.java
CJ-018,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/OpenIntToFieldHashMap.java,OpenIntToFieldHashMap::remove,OpenIntToFieldHashMap,public,5,19,1,358,380,org.apache.commons.math4.legacy.linear.OpenIntToFieldHashMap.remove,yes,instance,org.apache.commons.math4.legacy.linear,int,"import org.apache.commons.math4.legacy.linear.OpenIntToFieldHashMap;  // construct OpenIntToFieldHashMap, then instance.remove(int)",,,,,,khong phai method,,,clean_functions/CJ-018.java
CJ-019,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/chrono/LimitChronology.java,LimitChronology::withZone,LimitChronology,public,8,29,1,138,172,org.joda.time.chrono.LimitChronology.withZone,yes,instance,org.joda.time.chrono,DateTimeZone,"import org.joda.time.chrono.LimitChronology;  // construct LimitChronology, then instance.withZone(DateTimeZone)",,,,,,khong phai method,,,clean_functions/CJ-019.java
CJ-020,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/TextHelpAppendable.java,TextHelpAppendable::indexOfWrap,TextHelpAppendable,public,8,22,3,75,101,org.apache.commons.cli.help.TextHelpAppendable.indexOfWrap,yes,static,org.apache.commons.cli.help,"CharSequence,int,int","import org.apache.commons.cli.help.TextHelpAppendable;  // call TextHelpAppendable.indexOfWrap(CharSequence, int, int)",,,,,,khong phai method,,,clean_functions/CJ-020.java
CJ-021,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/bloomfilter/ArrayCountingBloomFilter.java,ArrayCountingBloomFilter::processBitMaps,ArrayCountingBloomFilter,public,7,24,1,217,242,org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilter.processBitMaps,yes,instance,org.apache.commons.collections4.bloomfilter,LongPredicate,"import org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilter;  // construct ArrayCountingBloomFilter, then instance.processBitMaps(LongPredicate)",,,,,,khong phai method,,,clean_functions/CJ-021.java
CJ-022,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java,Node::equals,LinkedTreeMap.Node,public,5,8,1,510,517,com.google.gson.internal.LinkedTreeMap.Node.equals,yes,instance,com.google.gson.internal,Object,import com.google.gson.internal.LinkedTreeMap;  // TARGET IS NESTED: LinkedTreeMap.Node.equals(Object) — NOT LinkedTreeMap.equals(Object),nested-class,,,,,khong phai method,,,clean_functions/CJ-022.java
CJ-023,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Element.java,Element::hasClass,Element,public,9,16,1,1889,1912,org.jsoup.nodes.Element.hasClass,yes,instance,org.jsoup.nodes,String,"import org.jsoup.nodes.Element;  // construct Element, then instance.hasClass(String)",,,,,,khong phai method,,,clean_functions/CJ-023.java
CJ-024,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java,CSVPrinter::CSVPrinter,CSVPrinter,public,5,15,2,107,123,org.apache.commons.csv.CSVPrinter.CSVPrinter,yes,instance,org.apache.commons.csv,"Appendable,CSVFormat","import org.apache.commons.csv.CSVPrinter;  // construct CSVPrinter, then instance.CSVPrinter(Appendable, CSVFormat)",,,,,,khong phai method,,,clean_functions/CJ-024.java
CJ-025,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/statistics/MeanAndStandardDeviation.java,MeanAndStandardDeviation::equals,MeanAndStandardDeviation,public,5,17,1,141,157,org.jfree.data.statistics.MeanAndStandardDeviation.equals,yes,instance,org.jfree.data.statistics,Object,"import org.jfree.data.statistics.MeanAndStandardDeviation;  // construct MeanAndStandardDeviation, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-025.java
CJ-026,java,apache/commons-math,data/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::asin,AccurateMath,public,7,46,1,2732,2802,org.apache.commons.math4.core.jdkmath.AccurateMath.asin,yes,static,org.apache.commons.math4.core.jdkmath,double,import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.asin(double),,,,,,khong phai method,,,clean_functions/CJ-026.java
CJ-027,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/Seconds.java,Seconds::seconds,Seconds,public,7,18,1,71,88,org.joda.time.Seconds.seconds,yes,static,org.joda.time,int,import org.joda.time.Seconds;  // call Seconds.seconds(int),,,,,,khong phai method,,,clean_functions/CJ-027.java
CJ-028,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/Parser.java,Parser::processArgs,Parser,public,7,18,2,217,237,org.apache.commons.cli.Parser.processArgs,yes,instance,org.apache.commons.cli,"Option,ListIterator","import org.apache.commons.cli.Parser;  // construct Parser, then instance.processArgs(Option, ListIterator)",,,,,,khong phai method,,,clean_functions/CJ-028.java
CJ-029,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/bidimap/AbstractDualBidiMap.java,View::retainAll,AbstractDualBidiMap.View,public,5,18,1,539,556,org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View.retainAll,yes,instance,org.apache.commons.collections4.bidimap,Collection,import org.apache.commons.collections4.bidimap.AbstractDualBidiMap;  // TARGET IS NESTED: AbstractDualBidiMap.View.retainAll(Collection) — NOT AbstractDualBidiMap.retainAll(Collection),nested-class,,,,,khong phai method,,,clean_functions/CJ-029.java
CJ-030,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/Primitives.java,Primitives::wrap,Primitives,public,10,12,1,64,75,com.google.gson.internal.Primitives.wrap,yes,static,com.google.gson.internal,Class,import com.google.gson.internal.Primitives;  // call Primitives.wrap(Class),,,,,,khong phai method,,,clean_functions/CJ-030.java
CJ-031,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/internal/StringUtil.java,StringUtil::isNumeric,StringUtil,public,5,10,1,179,189,org.jsoup.internal.StringUtil.isNumeric,yes,static,org.jsoup.internal,String,import org.jsoup.internal.StringUtil;  // call StringUtil.isNumeric(String),,,,,,khong phai method,,,clean_functions/CJ-031.java
CJ-032,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/internal/ArrayUtils.java,ArrayUtils::equal,ArrayUtils,public,6,17,2,124,143,org.jfree.chart.internal.ArrayUtils.equal,yes,static,org.jfree.chart.internal,"float,float","import org.jfree.chart.internal.ArrayUtils;  // call ArrayUtils.equal(float, float)",,,,,,khong phai method,,,clean_functions/CJ-032.java
CJ-033,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/BiDiagonalTransformer.java,BiDiagonalTransformer::getB,BiDiagonalTransformer,public,6,21,0,134,158,org.apache.commons.math4.legacy.linear.BiDiagonalTransformer.getB,yes,instance,org.apache.commons.math4.legacy.linear,,"import org.apache.commons.math4.legacy.linear.BiDiagonalTransformer;  // construct BiDiagonalTransformer, then instance.getB()",,,,,,khong phai method,,,clean_functions/CJ-033.java
CJ-034,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/base/AbstractInterval.java,AbstractInterval::equals,AbstractInterval,public,5,13,1,464,476,org.joda.time.base.AbstractInterval.equals,yes,instance,org.joda.time.base,Object,"import org.joda.time.base.AbstractInterval;  // construct AbstractInterval, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-034.java
CJ-035,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/OptionGroup.java,OptionGroup::toString,OptionGroup,public,5,24,0,155,178,org.apache.commons.cli.OptionGroup.toString,yes,instance,org.apache.commons.cli,,"import org.apache.commons.cli.OptionGroup;  // construct OptionGroup, then instance.toString()",,,,,,khong phai method,,,clean_functions/CJ-035.java
CJ-036,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils::removeCount,CollectionUtils,public,6,26,3,1546,1572,org.apache.commons.collections4.CollectionUtils.removeCount,yes,static,org.apache.commons.collections4,"Collection,int,int","import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.removeCount(Collection, int, int)",,,,,,khong phai method,,,clean_functions/CJ-036.java
CJ-037,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/Excluder.java,Excluder::create,Excluder,public,6,34,2,111,156,com.google.gson.internal.Excluder.create,yes,instance,com.google.gson.internal,"Gson,TypeToken","import com.google.gson.internal.Excluder;  // construct Excluder, then instance.create(Gson, TypeToken)",,,,,,khong phai method,,,clean_functions/CJ-037.java
CJ-038,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/helper/W3CDom.java,W3CBuilder::head,W3CDom.W3CBuilder,public,10,31,2,359,392,org.jsoup.helper.W3CDom.W3CBuilder.head,yes,instance,org.jsoup.helper,"org,int","import org.jsoup.helper.W3CDom;  // TARGET IS NESTED: W3CDom.W3CBuilder.head(org, int) — NOT W3CDom.head(org, int)",nested-class,,,,,khong phai method,,,clean_functions/CJ-038.java
CJ-039,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/renderer/AbstractRenderer.java,AbstractRenderer::lookupSeriesShape,AbstractRenderer,public,5,14,1,1471,1486,org.jfree.chart.renderer.AbstractRenderer.lookupSeriesShape,yes,instance,org.jfree.chart.renderer,int,"import org.jfree.chart.renderer.AbstractRenderer;  // construct AbstractRenderer, then instance.lookupSeriesShape(int)",,,,,,khong phai method,,,clean_functions/CJ-039.java
CJ-040,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/random/SobolSequenceGenerator.java,SobolSequenceGenerator::SobolSequenceGenerator,SobolSequenceGenerator,public,7,24,1,90,122,org.apache.commons.math4.legacy.random.SobolSequenceGenerator.SobolSequenceGenerator,yes,instance,org.apache.commons.math4.legacy.random,int,"import org.apache.commons.math4.legacy.random.SobolSequenceGenerator;  // construct SobolSequenceGenerator, then instance.SobolSequenceGenerator(int)",,,,,,khong phai method,,,clean_functions/CJ-040.java
CJ-041,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/tz/FixedDateTimeZone.java,FixedDateTimeZone::equals,FixedDateTimeZone,public,5,13,1,96,108,org.joda.time.tz.FixedDateTimeZone.equals,yes,instance,org.joda.time.tz,Object,"import org.joda.time.tz.FixedDateTimeZone;  // construct FixedDateTimeZone, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-041.java
CJ-042,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/Option.java,Option::toString,Option,public,5,23,0,1006,1030,org.apache.commons.cli.Option.toString,yes,instance,org.apache.commons.cli,,"import org.apache.commons.cli.Option;  // construct Option, then instance.toString()",,,,,,khong phai method,,,clean_functions/CJ-042.java
CJ-043,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/bidimap/AbstractDualBidiMap.java,View::removeIf,AbstractDualBidiMap.View,public,5,16,1,512,527,org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View.removeIf,yes,instance,org.apache.commons.collections4.bidimap,Predicate,import org.apache.commons.collections4.bidimap.AbstractDualBidiMap;  // TARGET IS NESTED: AbstractDualBidiMap.View.removeIf(Predicate) — NOT AbstractDualBidiMap.removeIf(Predicate),nested-class,,,,,khong phai method,,,clean_functions/CJ-043.java
CJ-044,java,google/gson,data/raw/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,BagOfPrimitivesDeserializationBenchmark::timeBagOfPrimitivesReflectionStreaming,BagOfPrimitivesDeserializationBenchmark,public,9,28,1,94,121,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark.timeBagOfPrimitivesReflectionStreaming,yes,instance,com.google.gson.metrics,int,"import com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark;  // construct BagOfPrimitivesDeserializationBenchmark, then instance.timeBagOfPrimitivesReflectionStreaming(int)",,,,,,khong phai method,,,clean_functions/CJ-044.java
CJ-045,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,FormattingVisitor::head,HtmlToPlainText.FormattingVisitor,public,5,11,2,77,87,org.jsoup.examples.HtmlToPlainText.FormattingVisitor.head,yes,instance,org.jsoup.examples,"Node,int","import org.jsoup.examples.HtmlToPlainText;  // TARGET IS NESTED: HtmlToPlainText.FormattingVisitor.head(Node, int) — NOT HtmlToPlainText.head(Node, int)",nested-class,,,,,khong phai method,,,clean_functions/CJ-045.java
CJ-046,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/time/Minute.java,Minute::equals,Minute,public,5,16,1,381,396,org.jfree.data.time.Minute.equals,yes,instance,org.jfree.data.time,Object,"import org.jfree.data.time.Minute;  // construct Minute, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-046.java
CJ-047,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/DfpMath.java,DfpMath::log,DfpMath,public,7,44,1,312,372,org.apache.commons.math4.legacy.core.dfp.DfpMath.log,yes,static,org.apache.commons.math4.legacy.core.dfp,Dfp,import org.apache.commons.math4.legacy.core.dfp.DfpMath;  // call DfpMath.log(Dfp),,,,,,khong phai method,,,clean_functions/CJ-047.java
CJ-048,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/LocalTime.java,Property::getField,LocalTime,protected,5,14,0,552,565,org.joda.time.LocalTime.getField,yes,instance,org.joda.time,"int,Chronology","import org.joda.time.LocalTime;  // construct LocalTime, then instance.getField(int, Chronology)",,,,,,khong phai method,,,clean_functions/CJ-048.java
CJ-049,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/TextHelpAppendable.java,TextHelpAppendable::appendList,TextHelpAppendable,public,5,13,2,216,228,org.apache.commons.cli.help.TextHelpAppendable.appendList,yes,instance,org.apache.commons.cli.help,"boolean,Collection","import org.apache.commons.cli.help.TextHelpAppendable;  // construct TextHelpAppendable, then instance.appendList(boolean, Collection)",,,,,,khong phai method,,,clean_functions/CJ-049.java
CJ-050,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/map/AbstractHashedMap.java,AbstractHashedMap::containsValue,AbstractHashedMap,public,8,24,1,808,831,org.apache.commons.collections4.map.AbstractHashedMap.containsValue,yes,instance,org.apache.commons.collections4.map,Object,"import org.apache.commons.collections4.map.AbstractHashedMap;  // construct AbstractHashedMap, then instance.containsValue(Object)",,,,,,khong phai method,,,clean_functions/CJ-050.java
CJ-051,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/GsonBuilder.java,GsonBuilder::registerTypeHierarchyAdapter,GsonBuilder,public,7,22,2,818,840,com.google.gson.GsonBuilder.registerTypeHierarchyAdapter,yes,instance,com.google.gson,"Class,Object","import com.google.gson.GsonBuilder;  // construct GsonBuilder, then instance.registerTypeHierarchyAdapter(Class, Object)",,,,,,khong phai method,,,clean_functions/CJ-051.java
CJ-052,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Element.java,Element::cssSelector,Element,public,5,17,0,1113,1131,org.jsoup.nodes.Element.cssSelector,yes,instance,org.jsoup.nodes,,"import org.jsoup.nodes.Element;  // construct Element, then instance.cssSelector()",,,,,,khong phai method,,,clean_functions/CJ-052.java
CJ-053,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/MeterInterval.java,MeterInterval::equals,MeterInterval,public,8,25,1,164,188,org.jfree.chart.plot.MeterInterval.equals,yes,instance,org.jfree.chart.plot,Object,"import org.jfree.chart.plot.MeterInterval;  // construct MeterInterval, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-053.java
CJ-054,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/MathArrays.java,MathArrays::isMonotonic,MathArrays,public,10,39,3,307,347,org.apache.commons.math4.legacy.core.MathArrays.isMonotonic,yes,static,org.apache.commons.math4.legacy.core,"T,OrderDirection,boolean","import org.apache.commons.math4.legacy.core.MathArrays;  // call MathArrays.isMonotonic(T, OrderDirection, boolean)",,,,,,khong phai method,,,clean_functions/CJ-054.java
CJ-055,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/field/BaseDateTimeField.java,BaseDateTimeField::getMaximumTextLength,BaseDateTimeField,public,5,13,1,871,883,org.joda.time.field.BaseDateTimeField.getMaximumTextLength,yes,instance,org.joda.time.field,Locale,"import org.joda.time.field.BaseDateTimeField;  // construct BaseDateTimeField, then instance.getMaximumTextLength(Locale)",,,,,,khong phai method,,,clean_functions/CJ-055.java
CJ-056,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/HelpFormatter.java,HelpFormatter::getTableDefinition,HelpFormatter,public,5,36,1,163,208,org.apache.commons.cli.help.HelpFormatter.getTableDefinition,yes,instance,org.apache.commons.cli.help,Iterable,"import org.apache.commons.cli.help.HelpFormatter;  // construct HelpFormatter, then instance.getTableDefinition(Iterable)",,,,,,khong phai method,,,clean_functions/CJ-056.java
CJ-057,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils::filter,CollectionUtils,public,5,12,2,840,851,org.apache.commons.collections4.CollectionUtils.filter,yes,static,org.apache.commons.collections4,"Iterable,Predicate","import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.filter(Iterable, Predicate)",,,,,,khong phai method,,,clean_functions/CJ-057.java
CJ-058,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java,JsonTreeReader::nextDouble,JsonTreeReader,public,7,16,0,237,252,com.google.gson.internal.bind.JsonTreeReader.nextDouble,yes,instance,com.google.gson.internal.bind,,"import com.google.gson.internal.bind.JsonTreeReader;  // construct JsonTreeReader, then instance.nextDouble()",,,,,,khong phai method,,,clean_functions/CJ-058.java
CJ-059,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/examples/ListLinks.java,ListLinks::main,ListLinks,public,5,26,1,19,48,org.jsoup.examples.ListLinks.main,yes,static,org.jsoup.examples,String,import org.jsoup.examples.ListLinks;  // call ListLinks.main(String),,,,,,khong phai method,,,clean_functions/CJ-059.java
CJ-060,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/CategoryMarker.java,CategoryMarker::equals,CategoryMarker,public,6,19,1,157,175,org.jfree.chart.plot.CategoryMarker.equals,yes,instance,org.jfree.chart.plot,Object,"import org.jfree.chart.plot.CategoryMarker;  // construct CategoryMarker, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-060.java
CP-001,python,psf/requests,data/raw/requests/src/requests/sessions.py,merge_hooks,,public,5,10,3,108,124,merge_hooks,no,function,requests.sessions,"request_hooks,session_hooks,dict_class",from requests.sessions import merge_hooks,,,,,,khong phai method,,,clean_functions/CP-001.py
CP-002,python,pallets/flask,data/raw/flask/src/flask/cli.py,parse_args,FlaskGroup,public,5,7,3,678,688,FlaskGroup.parse_args,yes,instance,flask.cli,"ctx,args","from flask.cli import FlaskGroup  # construct an instance first, then call instance.parse_args(...)",,"(self, add_default_commands: 'bool' = True, create_app: 't.Callable[..., Flask] | None' = None, add_version_option: 'bool' = True, load_dotenv: 'bool' = True, set_debug_flag: 'bool' = True, **extra: 't.Any') -> 'None'",FlaskGroup(),yes,yes,FlaskGroup,FlaskGroup,flask.cli,clean_functions/CP-002.py
CP-003,python,psf/requests,data/raw/requests/src/requests/cookies.py,morsel_to_cookie,,public,5,25,1,531,557,morsel_to_cookie,no,function,requests.cookies,morsel,from requests.cookies import morsel_to_cookie,,,,,,khong phai method,,,clean_functions/CP-003.py
