func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path,class_path,qualname,is_method,receiver_kind,module_or_package,visibility,param_types,import_hint,enrich_note,ctor_signature,ctor_snippet,ctor_verified,needs_context,ctor_note,ctor_class,ctor_module
HJ-011,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/parser/TokeniserState.java,TokeniserState::read,10,36,2,1267,1304,data-research/java_functions/HJ-011.java,TokeniserState,org.jsoup.parser.TokeniserState.read,yes,instance,org.jsoup.parser,package-private,"Tokeniser,CharacterReader","import org.jsoup.parser.TokeniserState;  // construct TokeniserState, then instance.read(Tokeniser, CharacterReader)",,,,,,khong phai method,,
HJ-012,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/chrono/GJChronology.java,GJChronology::getDateTimeMillis,8,37,7,354,394,data-research/java_functions/HJ-012.java,GJChronology,org.joda.time.chrono.GJChronology.getDateTimeMillis,yes,instance,org.joda.time.chrono,public,"int,int,int,int,int,int,int","import org.joda.time.chrono.GJChronology;  // construct GJChronology, then instance.getDateTimeMillis(int, int, int, int, int, int, int)",,,,,,khong phai method,,
HJ-013,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java,Adapter::keyToString,6,18,1,262,279,data-research/java_functions/HJ-013.java,MapTypeAdapterFactory.Adapter,com.google.gson.internal.bind.MapTypeAdapterFactory.Adapter.keyToString,yes,instance,com.google.gson.internal.bind,private,JsonElement,import com.google.gson.internal.bind.MapTypeAdapterFactory;  // TARGET IS NESTED: MapTypeAdapterFactory.Adapter.keyToString(JsonElement) — NOT MapTypeAdapterFactory.keyToString(JsonElement),nested-class,,,,,khong phai method,,
HJ-014,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/TextHelpAppendable.java,TextHelpAppendable::appendList,5,13,2,216,228,data-research/java_functions/HJ-014.java,TextHelpAppendable,org.apache.commons.cli.help.TextHelpAppendable.appendList,yes,instance,org.apache.commons.cli.help,public,"boolean,Collection","import org.apache.commons.cli.help.TextHelpAppendable;  // construct TextHelpAppendable, then instance.appendList(boolean, Collection)",,,,,,khong phai method,,
HJ-015,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/list/TreeList.java,AVLNode::balance,8,20,0,288,307,data-research/java_functions/HJ-015.java,TreeList.AVLNode,org.apache.commons.collections4.list.TreeList.AVLNode.balance,yes,instance,org.apache.commons.collections4.list,private,,import org.apache.commons.collections4.list.TreeList;  // TARGET IS NESTED: TreeList.AVLNode.balance() — NOT TreeList.balance(),nested-class,,,,,khong phai method,,
HJ-016,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader::getLineNumber,5,6,0,181,187,data-research/java_functions/HJ-016.java,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader.getLineNumber,yes,instance,org.apache.commons.csv,package-private,,"import org.apache.commons.csv.ExtendedBufferedReader;  // construct ExtendedBufferedReader, then instance.getLineNumber()",,,,,,khong phai method,,
HJ-017,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/statistics/HistogramBin.java,HistogramBin::equals,6,16,1,134,149,data-research/java_functions/HJ-017.java,HistogramBin,org.jfree.data.statistics.HistogramBin.equals,yes,instance,org.jfree.data.statistics,public,Object,"import org.jfree.data.statistics.HistogramBin;  // construct HistogramBin, then instance.equals(Object)",,,,,,khong phai method,,
HJ-018,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ml/clustering/MiniBatchKMeansClusterer.java,MiniBatchKMeansClusterer::MiniBatchKMeansClusterer,5,27,9,67,95,data-research/java_functions/HJ-018.java,MiniBatchKMeansClusterer,org.apache.commons.math4.legacy.ml.clustering.MiniBatchKMeansClusterer.MiniBatchKMeansClusterer,yes,instance,org.apache.commons.math4.legacy.ml.clustering,public,"int,int,int,int,int,int,DistanceMeasure,UniformRandomProvider,EmptyClusterStrategy","import org.apache.commons.math4.legacy.ml.clustering.MiniBatchKMeansClusterer;  // construct MiniBatchKMeansClusterer, then instance.MiniBatchKMeansClusterer(int, int, int, int, int, int, DistanceMeasure, UniformRandomProvider, EmptyClusterStrategy)",,,,,,khong phai method,,
HJ-019,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/parser/XmlTreeBuilder.java,XmlTreeBuilder::initialiseParseFragment,5,16,1,62,81,data-research/java_functions/HJ-019.java,XmlTreeBuilder,org.jsoup.parser.XmlTreeBuilder.initialiseParseFragment,yes,instance,org.jsoup.parser,package-private,Element,"import org.jsoup.parser.XmlTreeBuilder;  // construct XmlTreeBuilder, then instance.initialiseParseFragment(Element)",,,,,,khong phai method,,
HJ-020,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/tz/DateTimeZoneBuilder.java,Rule::next,5,23,3,875,907,data-research/java_functions/HJ-020.java,DateTimeZoneBuilder.Rule,org.joda.time.tz.DateTimeZoneBuilder.Rule.next,yes,instance,org.joda.time.tz,public,"long,int,int","import org.joda.time.tz.DateTimeZoneBuilder;  // TARGET IS NESTED: DateTimeZoneBuilder.Rule.next(long, int, int) — NOT DateTimeZoneBuilder.next(long, int, int)",nested-class,,,,,khong phai method,,
HJ-021,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/TreeTypeAdapter.java,SingleTypeFactory::SingleTypeFactory,5,16,4,160,175,data-research/java_functions/HJ-021.java,TreeTypeAdapter.SingleTypeFactory,com.google.gson.internal.bind.TreeTypeAdapter.SingleTypeFactory.SingleTypeFactory,yes,instance,com.google.gson.internal.bind,package-private,"Object,TypeToken,boolean,Class","import com.google.gson.internal.bind.TreeTypeAdapter;  // TARGET IS NESTED: TreeTypeAdapter.SingleTypeFactory.SingleTypeFactory(Object, TypeToken, boolean, Class) — NOT TreeTypeAdapter.SingleTypeFactory(Object, TypeToken, boolean, Class)",nested-class,,,,,khong phai method,,
HJ-022,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/OptionValidator.java,OptionValidator::validate,7,22,1,122,145,data-research/java_functions/HJ-022.java,OptionValidator,org.apache.commons.cli.OptionValidator.validate,yes,static,org.apache.commons.cli,package-private,String,import org.apache.commons.cli.OptionValidator;  // call OptionValidator.validate(String),,,,,,khong phai method,,
HJ-023,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/list/AbstractLinkedListJava21.java,Node::toString,5,19,0,1105,1124,data-research/java_functions/HJ-023.java,AbstractLinkedListJava21,org.apache.commons.collections4.list.AbstractLinkedListJava21.toString,yes,instance,org.apache.commons.collections4.list,public,,"import org.apache.commons.collections4.list.AbstractLinkedListJava21;  // construct AbstractLinkedListJava21, then instance.toString()",,,,,,khong phai method,,
HJ-024,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,Headers::addRecordValue,5,7,1,581,589,data-research/java_functions/HJ-024.java,CSVParser,org.apache.commons.csv.CSVParser.addRecordValue,yes,instance,org.apache.commons.csv,private,boolean,"import org.apache.commons.csv.CSVParser;  // construct CSVParser, then instance.addRecordValue(boolean)",,,,,,khong phai method,,
HJ-025,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/xy/DefaultXYZDataset.java,DefaultXYZDataset::equals,8,32,1,350,381,data-research/java_functions/HJ-025.java,DefaultXYZDataset,org.jfree.data.xy.DefaultXYZDataset.equals,yes,instance,org.jfree.data.xy,public,Object,"import org.jfree.data.xy.DefaultXYZDataset;  // construct DefaultXYZDataset, then instance.equals(Object)",,,,,,khong phai method,,
HJ-026,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/polynomials/PolynomialSplineFunction.java,PolynomialSplineFunction::PolynomialSplineFunction,5,21,2,99,120,data-research/java_functions/HJ-026.java,PolynomialSplineFunction,org.apache.commons.math4.legacy.analysis.polynomials.PolynomialSplineFunction.PolynomialSplineFunction,yes,instance,org.apache.commons.math4.legacy.analysis.polynomials,public,"double,PolynomialFunction","import org.apache.commons.math4.legacy.analysis.polynomials.PolynomialSplineFunction;  // construct PolynomialSplineFunction, then instance.PolynomialSplineFunction(double, PolynomialFunction)",,,,,,khong phai method,,
HJ-027,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/parser/TokeniserState.java,TokeniserState::read,5,25,2,465,489,data-research/java_functions/HJ-027.java,TokeniserState,org.jsoup.parser.TokeniserState.read,yes,instance,org.jsoup.parser,package-private,"Tokeniser,CharacterReader","import org.jsoup.parser.TokeniserState;  // construct TokeniserState, then instance.read(Tokeniser, CharacterReader)",,,,,,khong phai method,,
HJ-028,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/LocalDate.java,LocalDate::compareTo,6,13,1,683,697,data-research/java_functions/HJ-028.java,LocalDate,org.joda.time.LocalDate.compareTo,yes,instance,org.joda.time,public,ReadablePartial,"import org.joda.time.LocalDate;  // construct LocalDate, then instance.compareTo(ReadablePartial)",,,,,,khong phai method,,
HJ-029,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java,DummyTypeAdapterFactory::isClassJsonAdapterFactory,5,23,2,168,203,data-research/java_functions/HJ-029.java,JsonAdapterAnnotationTypeAdapterFactory,com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory.isClassJsonAdapterFactory,yes,instance,com.google.gson.internal.bind,public,"TypeToken,TypeAdapterFactory","import com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory;  // construct JsonAdapterAnnotationTypeAdapterFactory, then instance.isClassJsonAdapterFactory(TypeToken, TypeAdapterFactory)",,,,,,khong phai method,,
HJ-030,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/OptionFormatter.java,Builder::OptionFormatter,5,21,2,353,373,data-research/java_functions/HJ-030.java,OptionFormatter,org.apache.commons.cli.help.OptionFormatter.OptionFormatter,yes,instance,org.apache.commons.cli.help,private,"Option,Builder","import org.apache.commons.cli.help.OptionFormatter;  // construct OptionFormatter, then instance.OptionFormatter(Option, Builder)",,,,,,khong phai method,,
HP-001,python,psf/requests,data/raw/requests/src/requests/utils.py,_validate_header_part,5,20,3,1098,1119,data-research/python_functions/HP-001.py,,_validate_header_part,no,function,requests.utils,private,"header,header_part,header_validator_index",from requests.utils import _validate_header_part,,,,,,khong phai method,,
HP-002,python,pallets/flask,data/raw/flask/src/flask/wrappers.py,_load_form_data,5,10,1,197,210,data-research/python_functions/HP-002.py,Request,Request._load_form_data,yes,instance,flask.wrappers,private,,"from flask.wrappers import Request  # construct an instance first, then call instance._load_form_data(...)",,"(self, environ: 'WSGIEnvironment', populate_request: 'bool' = True, shallow: 'bool' = False) -> 'None'","Request(environ={""REQUEST_METHOD"": ""GET"", ""PATH_INFO"": ""/"", ""SERVER_NAME"": ""localhost"", ""SERVER_PORT"": ""80"", ""wsgi.url_scheme"": ""http""})",yes,yes,Request,Request,flask.wrappers
HP-003,python,psf/requests,data/raw/requests/src/requests/models.py,register_hook,6,11,3,257,270,data-research/python_functions/HP-003.py,RequestHooksMixin,RequestHooksMixin.register_hook,yes,instance,requests.models,public,"event,hook","from requests.models import RequestHooksMixin  # construct an instance first, then call instance.register_hook(...)",,"(self, /, *args, **kwargs)",RequestHooksMixin(),yes,no,RequestHooksMixin,RequestHooksMixin,requests.models
HP-004,python,pallets/flask,data/raw/flask/src/flask/templating.py,list_templates,5,11,1,108,120,data-research/python_functions/HP-004.py,DispatchingJinjaLoader,DispatchingJinjaLoader.list_templates,yes,instance,flask.templating,public,,"from flask.templating import DispatchingJinjaLoader  # construct an instance first, then call instance.list_templates(...)",,"(self, app: 'App') -> 'None'","DispatchingJinjaLoader(app=__import__(""flask"").Flask(""test_app""))",yes,yes,DispatchingJinjaLoader,DispatchingJinjaLoader,flask.templating
HP-005,python,psf/requests,data/raw/requests/src/requests/adapters.py,request_url,5,15,3,565,597,data-research/python_functions/HP-005.py,HTTPAdapter,HTTPAdapter.request_url,yes,instance,requests.adapters,public,"request,proxies","from requests.adapters import HTTPAdapter  # construct an instance first, then call instance.request_url(...)",,"(self, pool_connections: 'int' = 10, pool_maxsize: 'int' = 10, max_retries: 'int | Retry' = 0, pool_block: 'bool' = False) -> 'None'",HTTPAdapter(),yes,no,HTTPAdapter,HTTPAdapter,requests.adapters
HP-006,python,psf/requests,data/raw/requests/src/requests/sessions.py,rebuild_proxies,6,18,3,334,368,data-research/python_functions/HP-006.py,SessionRedirectMixin,SessionRedirectMixin.rebuild_proxies,yes,instance,requests.sessions,public,"prepared_request,proxies","from requests.sessions import SessionRedirectMixin  # construct an instance first, then call instance.rebuild_proxies(...)",,"(self, /, *args, **kwargs)",SessionRedirectMixin(),yes,no,SessionRedirectMixin,SessionRedirectMixin,requests.sessions
HP-007,python,psf/requests,data/raw/requests/src/requests/models.py,iter_content,7,20,3,914,977,data-research/python_functions/HP-007.py,Response,Response.iter_content,yes,instance,requests.models,public,"chunk_size,decode_unicode","from requests.models import Response  # construct an instance first, then call instance.iter_content(...)",,(self) -> 'None',Response(),yes,no,Response,Response,requests.models
HP-008,python,psf/requests,data/raw/requests/src/requests/models.py,raise_for_status,6,19,1,1144,1171,data-research/python_functions/HP-008.py,Response,Response.raise_for_status,yes,instance,requests.models,public,,"from requests.models import Response  # construct an instance first, then call instance.raise_for_status(...)",,(self) -> 'None',Response(),yes,no,Response,Response,requests.models
HP-009,python,psf/requests,data/raw/requests/src/requests/utils.py,guess_filename,5,4,1,283,287,data-research/python_functions/HP-009.py,,guess_filename,no,function,requests.utils,public,obj,from requests.utils import guess_filename,,,,,,khong phai method,,
HP-010,python,psf/requests,data/raw/requests/src/requests/sessions.py,merge_hooks,5,10,3,108,124,data-research/python_functions/HP-010.py,,merge_hooks,no,function,requests.sessions,public,"request_hooks,session_hooks,dict_class",from requests.sessions import merge_hooks,,,,,,khong phai method,,
HP-011,python,psf/requests,data/raw/requests/src/requests/utils.py,stream_decode_response_unicode,5,14,2,594,610,data-research/python_functions/HP-011.py,,stream_decode_response_unicode,no,function,requests.utils,public,"iterator,r",from requests.utils import stream_decode_response_unicode,,,,,,khong phai method,,
HP-012,python,psf/requests,data/raw/requests/src/requests/utils.py,select_proxy,5,17,2,885,908,data-research/python_functions/HP-012.py,,select_proxy,no,function,requests.utils,public,"url,proxies",from requests.utils import select_proxy,,,,,,khong phai method,,
HP-013,python,psf/requests,data/raw/requests/src/requests/hooks.py,dispatch_hook,6,16,4,32,48,data-research/python_functions/HP-013.py,,dispatch_hook,no,function,requests.hooks,public,"key,hooks,hook_data",from requests.hooks import dispatch_hook,,,,,,khong phai method,,
HP-014,python,psf/requests,data/raw/requests/src/requests/__init__.py,check_compatibility,5,28,3,60,96,data-research/python_functions/HP-014.py,,check_compatibility,no,function,requests,public,"urllib3_version,chardet_version,charset_normalizer_version",from requests import check_compatibility,,,,,,khong phai method,,
HP-015,python,psf/requests,data/raw/requests/src/requests/status_codes.py,_init,6,13,0,109,125,data-research/python_functions/HP-015.py,,_init,no,function,requests.status_codes,private,,from requests.status_codes import _init,,,,,,khong phai method,,
HP-016,python,psf/requests,data/raw/requests/src/requests/cookies.py,cookiejar_from_dict,7,13,3,579,601,data-research/python_functions/HP-016.py,,cookiejar_from_dict,no,function,requests.cookies,public,"cookie_dict,cookiejar,overwrite",from requests.cookies import cookiejar_from_dict,,,,,,khong phai method,,
HP-017,python,psf/requests,data/raw/requests/src/requests/utils.py,is_valid_cidr,6,15,1,763,784,data-research/python_functions/HP-017.py,,is_valid_cidr,no,function,requests.utils,public,string_network,from requests.utils import is_valid_cidr,,,,,,khong phai method,,
HP-018,python,psf/requests,data/raw/requests/src/requests/utils.py,set_environ,5,14,2,788,807,data-research/python_functions/HP-018.py,,set_environ,no,function,requests.utils,public,"env_name,value",from requests.utils import set_environ,,,,,,khong phai method,,
HP-019,python,psf/requests,data/raw/requests/src/requests/utils.py,parse_header_links,6,20,1,965,999,data-research/python_functions/HP-019.py,,parse_header_links,no,function,requests.utils,public,value,from requests.utils import parse_header_links,,,,,,khong phai method,,
HP-020,python,psf/requests,data/raw/requests/src/requests/models.py,prepare_content_length,5,10,2,654,668,data-research/python_functions/HP-020.py,PreparedRequest,PreparedRequest.prepare_content_length,yes,instance,requests.models,public,body,"from requests.models import PreparedRequest  # construct an instance first, then call instance.prepare_content_length(...)",,(self) -> 'None',PreparedRequest(),yes,no,PreparedRequest,PreparedRequest,requests.models
HP-021,python,psf/requests,data/raw/requests/src/requests/utils.py,get_encoding_from_headers,5,11,1,569,591,data-research/python_functions/HP-021.py,,get_encoding_from_headers,no,function,requests.utils,public,headers,from requests.utils import get_encoding_from_headers,,,,,,khong phai method,,
HP-022,python,psf/requests,data/raw/requests/src/requests/sessions.py,rebuild_method,7,11,3,370,392,data-research/python_functions/HP-022.py,SessionRedirectMixin,SessionRedirectMixin.rebuild_method,yes,instance,requests.sessions,public,"prepared_request,response","from requests.sessions import SessionRedirectMixin  # construct an instance first, then call instance.rebuild_method(...)",,"(self, /, *args, **kwargs)",SessionRedirectMixin(),yes,no,SessionRedirectMixin,SessionRedirectMixin,requests.sessions
HP-023,python,psf/requests,data/raw/requests/src/requests/cookies.py,morsel_to_cookie,5,25,1,531,557,data-research/python_functions/HP-023.py,,morsel_to_cookie,no,function,requests.cookies,public,morsel,from requests.cookies import morsel_to_cookie,,,,,,khong phai method,,
HP-024,python,psf/requests,data/raw/requests/src/requests/utils.py,get_unicode_from_response,6,22,1,633,671,data-research/python_functions/HP-024.py,,get_unicode_from_response,no,function,requests.utils,public,r,from requests.utils import get_unicode_from_response,,,,,,khong phai method,,
HP-025,python,psf/requests,data/raw/requests/src/requests/help.py,info,6,52,0,67,123,data-research/python_functions/HP-025.py,,info,no,function,requests.help,public,,from requests.help import info,,,,,,khong phai method,,
HP-026,python,psf/requests,data/raw/requests/src/requests/models.py,__init__,7,30,11,323,355,data-research/python_functions/HP-026.py,Request,Request.__init__,yes,instance,requests.models,private,"method,url,headers,files,data,params,auth,cookies,hooks,json","from requests.models import Request  # construct an instance first, then call instance.__init__(...)",,"(self, method: 'str | None' = None, url: '_t.UriType | None' = None, headers: '_t.HeadersType' = None, files: '_t.FilesType' = None, data: '_t.DataType' = None, params: '_t.ParamsType' = None, auth: '_t.AuthType' = None, cookies: 'RequestsCookieJar | CookieJar | dict[str, str] | None' = None, hooks: '_t.HooksInputType | None' = None, json: '_t.JsonType' = None) -> 'None'",Request(),yes,no,Request,Request,requests.models
HP-027,python,psf/requests,data/raw/requests/src/requests/models.py,content,6,10,1,1035,1051,data-research/python_functions/HP-027.py,Response,Response.content,yes,instance,requests.models,public,,"from requests.models import Response  # construct an instance first, then call instance.content(...)",,(self) -> 'None',Response(),yes,no,Response,Response,requests.models
HP-028,python,psf/requests,data/raw/requests/src/requests/models.py,prepare_auth,6,16,3,670,697,data-research/python_functions/HP-028.py,PreparedRequest,PreparedRequest.prepare_auth,yes,instance,requests.models,public,"auth,url","from requests.models import PreparedRequest  # construct an instance first, then call instance.prepare_auth(...)",,(self) -> 'None',PreparedRequest(),yes,no,PreparedRequest,PreparedRequest,requests.models
HP-029,python,psf/requests,data/raw/requests/src/requests/models.py,text,5,12,1,1054,1089,data-research/python_functions/HP-029.py,Response,Response.text,yes,instance,requests.models,public,,"from requests.models import Response  # construct an instance first, then call instance.text(...)",,(self) -> 'None',Response(),yes,no,Response,Response,requests.models
HP-030,python,psf/requests,data/raw/requests/src/requests/sessions.py,rebuild_auth,5,14,3,309,332,data-research/python_functions/HP-030.py,SessionRedirectMixin,SessionRedirectMixin.rebuild_auth,yes,instance,requests.sessions,public,"prepared_request,response","from requests.sessions import SessionRedirectMixin  # construct an instance first, then call instance.rebuild_auth(...)",,"(self, /, *args, **kwargs)",SessionRedirectMixin(),yes,no,SessionRedirectMixin,SessionRedirectMixin,requests.sessions
