function_id,language,cc,method,branch_coverage,mutation_score,compiled
PY-041,python,9,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-042,python,9,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-043,python,9,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-044,python,9,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-045,python,9,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-046,python,10,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-047,python,10,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-048,python,10,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-049,python,10,gpt4o-mini-ctx-repair,100.0,100.0,1
PY-050,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-051,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-052,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-053,python,5,gpt4o-mini-ctx-repair,100.0,0.0,1
PY-054,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-055,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-056,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-057,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-058,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-059,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-060,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
JA-020,java,6,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-022,java,7,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-030,java,7,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-032,java,8,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-040,java,8,gpt4o-mini-ctx-repair,83.33,,1
JA-042,java,9,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-050,java,9,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-052,java,10,gpt4o-mini-ctx-repair,100.0,,1
JA-060,java,10,gpt4o-mini-ctx-repair,100.0,100.0,1
JA-003,java,5,gpt4o-mini-ctx-repair,0.0,,1
JA-013,java,6,gpt4o-mini-ctx-repair,0.0,,1
JA-023,java,7,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-033,java,8,gpt4o-mini-ctx-repair,0.0,,1
JA-043,java,9,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-053,java,10,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-004,java,5,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-014,java,6,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-024,java,7,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-034,java,8,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-044,java,9,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-054,java,10,gpt4o-mini-ctx-repair,0.0,,1
JA-005,java,5,gpt4o-mini-ctx-repair,0,0,0
JA-015,java,6,gpt4o-mini-ctx-repair,0,0,0
JA-025,java,7,gpt4o-mini-ctx-repair,0,0,0
JA-035,java,8,gpt4o-mini-ctx-repair,0,0,0
JA-045,java,9,gpt4o-mini-ctx-repair,0,0,0
JA-055,java,10,gpt4o-mini-ctx-repair,0,0,0
JA-006,java,5,gpt4o-mini-ctx-repair,87.5,80.0,1
JA-016,java,6,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-036,java,8,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-026,java,7,gpt4o-mini-ctx-repair,0,0,0
JA-046,java,9,gpt4o-mini-ctx-repair,0,0,0
JA-056,java,10,gpt4o-mini-ctx-repair,0,0,0
JA-007,java,5,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-017,java,6,gpt4o-mini-ctx-repair,53.85,,1
JA-027,java,7,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-037,java,8,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-047,java,9,gpt4o-mini-ctx-repair,50.0,0.0,1
JA-057,java,10,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-001,java,5,gpt4o-mini-ctx-repair,100.0,,1
JA-009,java,5,gpt4o-mini-ctx-repair,50.0,0.0,1
JA-011,java,6,gpt4o-mini-ctx-repair,90.0,,1
JA-019,java,6,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-021,java,7,gpt4o-mini-ctx-repair,75.0,,1
JA-029,java,7,gpt4o-mini-ctx-repair,71.43,77.78,1
JA-031,java,8,gpt4o-mini-ctx-repair,50.0,0.0,1
JA-039,java,8,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-041,java,9,gpt4o-mini-ctx-repair,33.33,0.0,1
JA-049,java,9,gpt4o-mini-ctx-repair,0.0,,1
JA-051,java,10,gpt4o-mini-ctx-repair,11.11,,1
JA-059,java,10,gpt4o-mini-ctx-repair,77.78,,1
JA-008,java,5,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-018,java,6,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-028,java,7,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-038,java,8,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-048,java,9,gpt4o-mini-ctx-repair,0.0,,1
JA-058,java,10,gpt4o-mini-ctx-repair,0.0,,1
